GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:
9700000US4204260,4204260,"Brockway Area School District, Pennsylvania",7427,235,7305,251,33,35,3,4,76,37
9700000US4204320,4204320,"Brookville Area School District, Pennsylvania",11913,289,11759,292,25,22,25,19,71,36
9700000US4204500,4204500,"Burgettstown Area School District, Pennsylvania",9873,187,9764,215,27,21,2,3,75,57
9700000US4204530,4204530,"Burrell School District, Pennsylvania",13954,126,13665,180,76,80,101,102,101,93
9700000US4204590,4204590,"Butler Area School District, Pennsylvania",54623,198,52307,392,1076,206,433,245,472,107
9700000US4204710,4204710,"California Area School District, Pennsylvania",11087,221,9991,340,539,177,192,119,358,132
9700000US4204740,4204740,"Cambria Heights School District, Pennsylvania",9675,256,9555,260,45,40,15,16,35,17
9700000US4204830,4204830,"Cameron County School District, Pennsylvania",5000,*****,4907,8,38,28,8,7,43,22
9700000US4204860,4204860,"Camp Hill School District, Pennsylvania",7888,26,7208,204,193,122,375,120,111,79
9700000US4204890,4204890,"Canon-McMillan School District, Pennsylvania",34023,69,31699,401,982,276,474,182,769,242
9700000US4204920,4204920,"Canton Area School District, Pennsylvania",6662,377,6630,375,9,11,4,6,19,16
9700000US4204980,4204980,"Carbondale Area School District, Pennsylvania",10920,202,10550,281,109,134,39,58,34,31
9700000US4205010,4205010,"Carlisle Area School District, Pennsylvania",37064,219,32744,545,2083,360,878,278,1074,294
9700000US4205040,4205040,"Carlynton School District, Pennsylvania",14415,54,12915,387,928,304,42,48,450,228
9700000US4205070,4205070,"Carmichaels Area School District, Pennsylvania",6925,88,6734,159,37,47,20,30,122,93
9700000US4205160,4205160,"Catasauqua Area School District, Pennsylvania",10898,119,9888,346,423,277,115,94,158,88
9700000US4205190,4205190,"Centennial School District, Pennsylvania",48962,223,44824,955,779,248,1171,444,363,162
9700000US4205310,4205310,"Central Bucks School District, Pennsylvania",114689,89,106399,763,1919,406,4396,533,1510,337
9700000US4205340,4205340,"Central Cambria School District, Pennsylvania",13722,30,13417,137,218,119,44,55,18,16
9700000US4205370,4205370,"Central Columbia School District, Pennsylvania",15201,381,14737,393,126,126,187,129,105,68
9700000US4205400,4205400,"Central Dauphin School District, Pennsylvania",90928,190,70571,1159,11481,830,3438,530,3112,571
9700000US4205430,4205430,"Central Greene School District, Pennsylvania",15869,244,13586,374,1744,243,68,82,255,90
9700000US4205460,4205460,"Crestwood School District, Pennsylvania",20150,265,19584,322,95,66,286,140,121,69
9700000US4205490,4205490,"Central York School District, Pennsylvania",37272,463,31102,741,3448,515,1141,307,1168,274
9700000US4205550,4205550,"Chambersburg Area School District, Pennsylvania",67059,285,60931,650,2962,477,831,262,1004,291
9700000US4205640,4205640,"Charleroi School District, Pennsylvania",11972,157,11319,246,432,163,27,26,154,80
9700000US4205700,4205700,"Chartiers Valley School District, Pennsylvania",30705,93,27053,605,922,421,2072,478,407,144
9700000US4205730,4205730,"Chartiers-Houston School District, Pennsylvania",9173,89,8643,251,339,196,0,15,77,72
9700000US4205760,4205760,"Cheltenham Township School District, Pennsylvania",36849,84,20627,779,11757,754,2989,527,1174,263
9700000US4205860,4205860,"Chester-Upland School District, Pennsylvania",41299,47,8531,645,30293,635,100,65,931,323
9700000US4205880,4205880,"Chestnut Ridge School District, Pennsylvania",10938,400,10742,381,81,66,6,9,68,40
9700000US4205910,4205910,"Chichester School District, Pennsylvania",24649,248,19999,635,3607,633,456,226,448,164
9700000US4206030,4206030,"Clairton City School District, Pennsylvania",6798,33,4023,303,2371,299,11,16,334,222
9700000US4206060,4206060,"Clarion Area School District, Pennsylvania",8687,239,8078,257,241,64,191,55,136,46
9700000US4206090,4206090,"Clarion-Limestone Area School District, Pennsylvania",7924,263,7709,264,111,62,8,9,38,24
9700000US4206120,4206120,"Claysburg-Kimmel School District, Pennsylvania",5764,136,5667,150,36,34,0,15,26,24
9700000US4206150,4206150,"Clearfield Area School District, Pennsylvania",19167,163,18611,219,231,117,146,87,132,59
9700000US4206240,4206240,"Coatesville Area School District, Pennsylvania",63464,186,47333,1044,12582,952,948,289,1975,529
9700000US4206270,4206270,"Cocalico School District, Pennsylvania",23165,238,22269,476,170,167,137,83,148,101
9700000US4206360,4206360,"Columbia Borough School District, Pennsylvania",10390,21,9313,306,401,150,74,109,323,176
9700000US4206390,4206390,"Commodore Perry School District, Pennsylvania",4093,184,4057,185,1,4,9,10,21,23
9700000US4206420,4206420,"Conemaugh Township Area School District, Pennsylvania",8227,238,8112,251,48,80,0,15,67,47
9700000US4206430,4206430,"Conemaugh Valley School District, Pennsylvania",6555,197,6265,226,160,97,0,15,102,75
9700000US4206480,4206480,"Conestoga Valley School District, Pennsylvania",33212,36,29189,829,1439,429,1164,513,798,294
9700000US4206550,4206550,"Conewago Valley School District, Pennsylvania",27190,551,25325,601,297,153,190,121,507,188
9700000US4206590,4206590,"Conneaut School District, Pennsylvania",18048,401,17688,397,83,62,55,34,190,88
9700000US4206660,4206660,"Connellsville Area School District, Pennsylvania",34257,370,33644,406,242,112,71,84,213,120
9700000US4206780,4206780,"Conrad Weiser Area School District, Pennsylvania",19362,354,17430,611,781,349,435,187,250,175
9700000US4206810,4206810,"Cornell School District, Pennsylvania",6757,82,5483,375,730,272,27,31,470,215
9700000US4206840,4206840,"Cornwall-Lebanon School District, Pennsylvania",34846,175,31675,568,729,253,576,225,663,338
9700000US4206860,4206860,"Corry Area School District, Pennsylvania",14587,325,13982,375,80,74,82,58,373,166
9700000US4206930,4206930,"Coudersport Area School District, Pennsylvania",5726,239,5571,240,39,23,34,18,56,28
9700000US4206960,4206960,"Council Rock School District, Pennsylvania",72604,160,67315,715,450,228,3623,634,1020,346
9700000US4207050,4207050,"Cranberry Area School District, Pennsylvania",9283,188,9099,188,2,4,11,16,160,83
9700000US4207080,4207080,"Crawford Central School District, Pennsylvania",30605,284,28733,339,949,184,234,76,633,133
