GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - No vehicle available,Margin of Error; Owner occupied: - No vehicle available,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - No vehicle available,Margin of Error; Renter occupied: - No vehicle available
9700000US4204260,4204260,"Brockway Area School District, Pennsylvania",3043,112,2319,96,69,24,724,88,146,59
9700000US4204320,4204320,"Brookville Area School District, Pennsylvania",4953,140,3799,142,137,47,1154,112,195,62
9700000US4204500,4204500,"Burgettstown Area School District, Pennsylvania",4032,129,3230,134,85,46,802,131,156,77
9700000US4204530,4204530,"Burrell School District, Pennsylvania",5935,228,4814,242,95,45,1121,175,117,64
9700000US4204590,4204590,"Butler Area School District, Pennsylvania",22937,359,16050,433,448,120,6887,365,1775,239
9700000US4204710,4204710,"California Area School District, Pennsylvania",4319,273,2816,175,97,39,1503,214,351,148
9700000US4204740,4204740,"Cambria Heights School District, Pennsylvania",3955,130,3311,116,120,35,644,87,181,55
9700000US4204830,4204830,"Cameron County School District, Pennsylvania",2144,90,1533,88,54,23,611,82,145,47
9700000US4204860,4204860,"Camp Hill School District, Pennsylvania",3435,114,2451,147,114,62,984,125,94,61
9700000US4204890,4204890,"Canon-McMillan School District, Pennsylvania",13930,253,10760,358,196,79,3170,338,344,134
9700000US4204920,4204920,"Canton Area School District, Pennsylvania",2508,120,1722,117,62,33,786,88,121,48
9700000US4204980,4204980,"Carbondale Area School District, Pennsylvania",4700,238,2926,213,145,70,1774,206,475,118
9700000US4205010,4205010,"Carlisle Area School District, Pennsylvania",14401,443,9121,425,294,99,5280,371,695,132
9700000US4205040,4205040,"Carlynton School District, Pennsylvania",6798,188,3541,240,100,57,3257,212,812,165
9700000US4205070,4205070,"Carmichaels Area School District, Pennsylvania",3014,157,2184,207,178,74,830,189,199,80
9700000US4205160,4205160,"Catasauqua Area School District, Pennsylvania",4537,202,2654,241,54,32,1883,258,369,148
9700000US4205190,4205190,"Centennial School District, Pennsylvania",18494,381,13992,377,356,103,4502,252,680,137
9700000US4205310,4205310,"Central Bucks School District, Pennsylvania",40288,566,34154,622,544,141,6134,429,842,145
9700000US4205340,4205340,"Central Cambria School District, Pennsylvania",5340,206,4043,232,151,59,1297,206,194,70
9700000US4205370,4205370,"Central Columbia School District, Pennsylvania",6165,169,5116,207,114,44,1049,153,127,76
9700000US4205400,4205400,"Central Dauphin School District, Pennsylvania",36388,600,25173,579,435,122,11215,575,1021,223
9700000US4205430,4205430,"Central Greene School District, Pennsylvania",5054,244,3246,233,123,40,1808,211,353,114
9700000US4205460,4205460,"Crestwood School District, Pennsylvania",7589,192,6728,210,136,35,861,141,66,51
