GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
9700000US4205370,4205370,"Central Columbia School District, Pennsylvania",6165,169,57344,3291
9700000US4205400,4205400,"Central Dauphin School District, Pennsylvania",36388,600,63820,1705
9700000US4205430,4205430,"Central Greene School District, Pennsylvania",5054,244,47266,3920
9700000US4205460,4205460,"Crestwood School District, Pennsylvania",7589,192,69697,4468
9700000US4205490,4205490,"Central York School District, Pennsylvania",13366,293,64725,3532
9700000US4205550,4205550,"Chambersburg Area School District, Pennsylvania",26344,429,50346,1502
9700000US4205640,4205640,"Charleroi School District, Pennsylvania",5093,189,40309,2715
9700000US4205700,4205700,"Chartiers Valley School District, Pennsylvania",13857,386,58315,2854
9700000US4205730,4205730,"Chartiers-Houston School District, Pennsylvania",3647,159,57195,3841
9700000US4205760,4205760,"Cheltenham Township School District, Pennsylvania",14492,378,76280,2923
9700000US4205860,4205860,"Chester-Upland School District, Pennsylvania",14329,426,28673,2133
9700000US4205880,4205880,"Chestnut Ridge School District, Pennsylvania",4387,194,45076,2727
9700000US4205910,4205910,"Chichester School District, Pennsylvania",9164,283,59214,4361
9700000US4206030,4206030,"Clairton City School District, Pennsylvania",3216,187,27442,4607
9700000US4206060,4206060,"Clarion Area School District, Pennsylvania",3213,198,40085,5299
9700000US4206090,4206090,"Clarion-Limestone Area School District, Pennsylvania",3260,179,40391,6724
9700000US4206120,4206120,"Claysburg-Kimmel School District, Pennsylvania",2256,133,41415,6412
9700000US4206150,4206150,"Clearfield Area School District, Pennsylvania",8191,263,38485,4237
9700000US4206240,4206240,"Coatesville Area School District, Pennsylvania",23497,559,65711,3444
9700000US4206270,4206270,"Cocalico School District, Pennsylvania",8309,230,63545,4173
9700000US4206360,4206360,"Columbia Borough School District, Pennsylvania",4079,136,41240,3976
9700000US4206390,4206390,"Commodore Perry School District, Pennsylvania",1661,71,49176,2715
9700000US4206420,4206420,"Conemaugh Township Area School District, Pennsylvania",3449,155,51161,5394
9700000US4206430,4206430,"Conemaugh Valley School District, Pennsylvania",2705,101,42209,3443
9700000US4206480,4206480,"Conestoga Valley School District, Pennsylvania",11877,312,56326,2934
9700000US4206550,4206550,"Conewago Valley School District, Pennsylvania",10376,317,55771,2146
9700000US4206590,4206590,"Conneaut School District, Pennsylvania",7302,207,43448,2639
9700000US4206660,4206660,"Connellsville Area School District, Pennsylvania",14258,348,39259,2082
9700000US4206780,4206780,"Conrad Weiser Area School District, Pennsylvania",7216,211,61657,3346
9700000US4206810,4206810,"Cornell School District, Pennsylvania",3229,210,34387,1574
9700000US4206840,4206840,"Cornwall-Lebanon School District, Pennsylvania",13533,316,63619,3366
9700000US4206860,4206860,"Corry Area School District, Pennsylvania",5429,164,37455,3552
9700000US4206930,4206930,"Coudersport Area School District, Pennsylvania",2337,110,45391,3553
9700000US4206960,4206960,"Council Rock School District, Pennsylvania",26012,365,110950,4372
9700000US4207050,4207050,"Cranberry Area School District, Pennsylvania",3979,166,46384,2467
9700000US4207080,4207080,"Crawford Central School District, Pennsylvania",12833,326,41810,3038
9700000US4207110,4207110,"Cumberland Valley School District, Pennsylvania",22764,404,78894,3239
9700000US4207140,4207140,"Curwensville Area School District, Pennsylvania",2998,112,39694,3231
9700000US4207200,4207200,"Dallas School District, Pennsylvania",7998,244,62432,2917
9700000US4207230,4207230,"Dallastown Area School District, Pennsylvania",16840,370,62048,2306
9700000US4207290,4207290,"Daniel Boone Area School District, Pennsylvania",7593,206,77261,4735
9700000US4207320,4207320,"Danville Area School District, Pennsylvania",7623,203,52118,2519
9700000US4207530,4207530,"Delaware Valley School District, Pennsylvania",10716,416,63582,4213
9700000US4207540,4207540,"Deer Lakes School District, Pennsylvania",5831,178,58013,3345
9700000US4207560,4207560,"Derry Area School District, Pennsylvania",7326,238,42889,4373
9700000US4207590,4207590,"Derry Township School District, Pennsylvania",10026,333,63960,4292
9700000US4207650,4207650,"Donegal School District, Pennsylvania",8257,294,57999,3009
9700000US4207680,4207680,"Dover Area School District, Pennsylvania",10164,288,54048,3244
9700000US4207710,4207710,"Downingtown Area School District, Pennsylvania",24928,362,104535,3469
9700000US4207830,4207830,"DuBois Area School District, Pennsylvania",12744,336,42246,2623
9700000US4207980,4207980,"Dunmore School District, Pennsylvania",5845,230,47967,3147
9700000US4208010,4208010,"Duquesne City School District, Pennsylvania",2437,190,20152,2726
9700000US4208060,4208060,"East Allegheny School District, Pennsylvania",7122,280,35946,3755
9700000US4208280,4208280,"Forest Area School District, Pennsylvania",2227,458,37536,3690
9700000US4208460,4208460,"Eastern Lebanon County School District, Pennsylvania",7859,250,55741,2797
9700000US4208490,4208490,"East Lycoming School District, Pennsylvania",3940,133,53380,3021
9700000US4208550,4208550,"East Penn School District, Pennsylvania",21242,418,69883,3127
9700000US4208580,4208580,"East Pennsboro Area School District, Pennsylvania",8262,262,59890,3447
9700000US4208670,4208670,"East Stroudsburg Area School District, Pennsylvania",16301,578,58322,3758
9700000US4208790,4208790,"Eastern York School District, Pennsylvania",8143,279,56755,2052
9700000US4208820,4208820,"Eastern Lancaster County School District, Pennsylvania",10835,297,56772,3172
9700000US4208850,4208850,"Easton Area School District, Pennsylvania",23352,452,61294,3073
9700000US4209090,4209090,"Elizabeth Forward School District, Pennsylvania",7638,187,53527,3469
9700000US4209120,4209120,"Elizabethtown Area School District, Pennsylvania",11206,408,58207,3032
9700000US4209150,4209150,"Elk Lake School District, Pennsylvania",2977,120,52288,3356
9700000US4209240,4209240,"Ellwood City Area School District, Pennsylvania",6020,217,43764,2896
9700000US4209270,4209270,"Ephrata Area School District, Pennsylvania",13149,301,55196,2697
9700000US4209300,4209300,"Erie City School District, Pennsylvania",40894,682,33049,1192
9700000US4209360,4209360,"Everett Area School District, Pennsylvania",4047,173,41025,2315
9700000US4209480,4209480,"Exeter Township School District, Pennsylvania",10211,212,73049,3259
9700000US4209540,4209540,"Fairfield Area School District, Pennsylvania",2970,136,70417,4677
9700000US4209570,4209570,"Fairview School District, Pennsylvania",3705,122,72537,4313
9700000US4209600,4209600,"Karns City Area School District, Pennsylvania",4031,129,49071,2339
9700000US4209660,4209660,"Fannett-Metal School District, Pennsylvania",1617,142,44290,4505
9700000US4209690,4209690,"Farrell Area School District, Pennsylvania",2369,191,29471,3245
9700000US4209750,4209750,"Ferndale Area School District, Pennsylvania",2187,115,38317,2414
9700000US4209780,4209780,"Fleetwood Area School District, Pennsylvania",6382,181,65374,4193
9700000US4209870,4209870,"Forbes Road School District, Pennsylvania",1202,73,46894,3517
9700000US4209930,4209930,"Forest City Regional School District, Pennsylvania",2379,140,48168,2930
9700000US4209940,4209940,"Forest Hills School District, Pennsylvania",5027,252,49690,3658
9700000US4209960,4209960,"Fort Cherry School District, Pennsylvania",3443,137,53181,3972
9700000US4209990,4209990,"Fort LeBoeuf School District, Pennsylvania",5599,202,52732,4210
9700000US4210070,4210070,"Fox Chapel Area School District, Pennsylvania",11631,284,70704,4116
9700000US4210110,4210110,"North Schuylkill School District, Pennsylvania",6541,240,43849,2880
9700000US4210115,4210115,"North Star School District, Pennsylvania",3618,181,44659,5149
9700000US4210200,4210200,"Franklin Area School District, Pennsylvania",6876,192,41844,1984
9700000US4210230,4210230,"Franklin Regional School District, Pennsylvania",9460,247,82439,4774
9700000US4210350,4210350,"Frazier School District, Pennsylvania",3364,174,45640,3952
9700000US4210380,4210380,"Freedom Area School District, Pennsylvania",4723,167,50536,4311
9700000US4210440,4210440,"Freeport Area School District, Pennsylvania",4621,150,62795,3717
9700000US4210530,4210530,"Galeton Area School District, Pennsylvania",1268,77,40213,4793
9700000US4210590,4210590,"Garnet Valley School District, Pennsylvania",10272,251,91893,3981
9700000US4210620,4210620,"Gateway School District, Pennsylvania",14128,305,53907,2576
9700000US4210650,4210650,"General McLane School District, Pennsylvania",6722,363,48980,5290
9700000US4210710,4210710,"Gettysburg Area School District, Pennsylvania",10197,280,60069,2436
9700000US4210740,4210740,"Girard School District, Pennsylvania",4306,228,47091,4253
9700000US4210830,4210830,"Glendale School District, Pennsylvania",2205,111,37247,2280
9700000US4210860,4210860,"Governor Mifflin School District, Pennsylvania",12970,304,58864,3594
9700000US4210870,4210870,"Great Valley School District, Pennsylvania",10902,313,101942,5101
9700000US4210920,4210920,"Greensburg Salem School District, Pennsylvania",11929,274,42436,2470
9700000US4210950,4210950,"Greater Johnstown School District, Pennsylvania",13089,354,28414,1365
9700000US4210980,4210980,"Greater Latrobe School District, Pennsylvania",12514,345,50261,2508
9700000US4211010,4211010,"Greencastle-Antrim School District, Pennsylvania",7393,224,62002,4332
9700000US4211160,4211160,"Greenville Area School District, Pennsylvania",4267,199,41052,3536
9700000US4211190,4211190,"Greenwood School District, Pennsylvania",2102,80,55200,3260
9700000US4211220,4211220,"Grove City Area School District, Pennsylvania",6047,293,49583,4817
9700000US4211310,4211310,"Halifax Area School District, Pennsylvania",3086,134,54556,7330
9700000US4211340,4211340,"Hamburg Area School District, Pennsylvania",6948,198,56700,2042
9700000US4211400,4211400,"Hampton Township School District, Pennsylvania",7004,213,84417,5101
9700000US4211420,4211420,"Hanover Area School District, Pennsylvania",6758,213,38807,2987
9700000US4211450,4211450,"Hanover Public School District, Pennsylvania",6571,241,45110,4352
9700000US4211490,4211490,"Harbor Creek School District, Pennsylvania",5935,228,62988,4631
9700000US4211520,4211520,"Harmony Area School District, Pennsylvania",878,63,37222,3735
9700000US4211580,4211580,"Harrisburg City School District, Pennsylvania",20726,503,34216,1336
9700000US4211610,4211610,"Hatboro-Horsham School District, Pennsylvania",12408,277,80596,5072
9700000US4211670,4211670,"Haverford Township School District, Pennsylvania",17659,301,94501,3350
9700000US4211700,4211700,"Hazleton Area School District, Pennsylvania",29341,495,41454,1369
9700000US4211730,4211730,"Saucon Valley School District, Pennsylvania",6500,208,68912,3838
9700000US4211760,4211760,"Hempfield Area School District, Pennsylvania",20418,490,54887,2352
9700000US4211790,4211790,"Hempfield School District, Pennsylvania",18514,341,68005,3692
9700000US4211820,4211820,"Hermitage School District, Pennsylvania",7237,239,51265,2446
9700000US4211880,4211880,"Highlands School District, Pennsylvania",8764,247,42859,2433
9700000US4211940,4211940,"Hollidaysburg Area School District, Pennsylvania",11301,292,51075,3193
9700000US4212030,4212030,"Hopewell Area School District, Pennsylvania",7485,203,60244,3283
9700000US4212090,4212090,"Huntingdon Area School District, Pennsylvania",6866,257,44800,3096
9700000US4212150,4212150,"Indiana Area School District, Pennsylvania",12837,450,40285,3323
9700000US4212170,4212170,"Interboro School District, Pennsylvania",9376,297,57188,4727
9700000US4212210,4212210,"Iroquois School District, Pennsylvania",2684,136,54160,3366
9700000US4212300,4212300,"Jamestown Area School District, Pennsylvania",1794,103,43837,4402
9700000US4212330,4212330,"Jeannette City School District, Pennsylvania",4448,203,38791,4094
9700000US4212390,4212390,"Jefferson-Morgan School District, Pennsylvania",2529,115,44263,4105
9700000US4212420,4212420,"Jenkintown School District, Pennsylvania",1936,128,64342,13745
9700000US4212480,4212480,"Jersey Shore Area School District, Pennsylvania",7068,228,51214,2342
