GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,With a disability; Estimate; Total civilian noninstitutionalized population,With a disability; Margin of Error; Total civilian noninstitutionalized population,Percent with a disability; Estimate; Total civilian noninstitutionalized population,Percent with a disability; Margin of Error; Total civilian noninstitutionalized population
9700000US4212720,4212720,"Keystone School District, Pennsylvania",7505,289,1196,117,15.9,1.5
9700000US4212725,4212725,"Keystone Central School District, Pennsylvania",36492,428,5321,306,14.6,0.9
9700000US4212750,4212750,"Keystone Oaks School District, Pennsylvania",20667,201,2471,308,12.0,1.5
9700000US4212840,4212840,"Kiski Area School District, Pennsylvania",28664,355,4546,354,15.9,1.2
9700000US4212930,4212930,"Kutztown Area School District, Pennsylvania",18588,244,1590,219,8.6,1.2
9700000US4212990,4212990,"Lackawanna Trail School District, Pennsylvania",8718,418,1157,153,13.3,1.6
9700000US4213020,4213020,"Lake-Lehman School District, Pennsylvania",14812,297,1899,219,12.8,1.4
9700000US4213050,4213050,"Lakeland School District, Pennsylvania",12414,324,1735,199,14.0,1.6
9700000US4213080,4213080,"Lakeview School District, Pennsylvania",8455,261,1290,111,15.3,1.2
9700000US4213110,4213110,"Lampeter-Strasburg School District, Pennsylvania",22652,188,2675,334,11.8,1.5
9700000US4213140,4213140,"Lancaster School District, Pennsylvania",72743,628,10744,718,14.8,1.0
9700000US4213290,4213290,"Homer-Center School District, Pennsylvania",6447,116,1138,220,17.7,3.5
9700000US4213320,4213320,"Laurel Highlands School District, Pennsylvania",22871,128,4145,430,18.1,1.9
9700000US4213380,4213380,"Laurel School District, Pennsylvania",8031,258,903,153,11.2,1.9
9700000US4213440,4213440,"Lebanon School District, Pennsylvania",26251,154,4049,414,15.4,1.6
9700000US4213470,4213470,"Leechburg Area School District, Pennsylvania",5979,288,989,139,16.5,2.4
9700000US4213500,4213500,"Lehighton Area School District, Pennsylvania",17710,220,2989,380,16.9,2.2
9700000US4213590,4213590,"Lewisburg Area School District, Pennsylvania",17025,292,1928,259,11.3,1.5
9700000US4213710,4213710,"Ligonier Valley School District, Pennsylvania",15503,420,2341,278,15.1,1.8
9700000US4213770,4213770,"Penn Cambria School District, Pennsylvania",14247,529,1938,159,13.6,1.0
9700000US4213980,4213980,"Littlestown Area School District, Pennsylvania",14976,509,1750,237,11.7,1.6
9700000US4214100,4214100,"Lower Dauphin School District, Pennsylvania",24880,28,3161,355,12.7,1.4
9700000US4214160,4214160,"Lower Merion School District, Pennsylvania",61875,135,4339,343,7.0,0.6
9700000US4214190,4214190,"Lower Moreland Township School District, Pennsylvania",12908,58,1302,185,10.1,1.4
9700000US4214250,4214250,"Methacton School District, Pennsylvania",33439,186,3123,386,9.3,1.1
9700000US4214310,4214310,"Loyalsock Township School District, Pennsylvania",10418,163,1556,256,14.9,2.5
9700000US4214430,4214430,"Mahanoy Area School District, Pennsylvania",8001,402,1694,223,21.2,2.7
9700000US4214460,4214460,"Line Mountain School District, Pennsylvania",8683,306,1176,109,13.5,1.3
9700000US4214550,4214550,"Manheim Central School District, Pennsylvania",24257,71,2311,358,9.5,1.5
9700000US4214580,4214580,"Manheim Township School District, Pennsylvania",37544,176,3620,416,9.6,1.1
9700000US4214730,4214730,"Marion Center Area School District, Pennsylvania",10358,329,1431,182,13.8,1.8
9700000US4214760,4214760,"Marple Newtown School District, Pennsylvania",34950,173,4096,411,11.7,1.2
