GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
9700000US4215540,4215540,"Mohawk Area School District, Pennsylvania",425,22
9700000US4215600,4215600,"Monessen City School District, Pennsylvania",447,23
9700000US4215660,4215660,"Montgomery Area School District, Pennsylvania",506,22
9700000US4215720,4215720,"Montour School District, Pennsylvania",779,29
9700000US4215750,4215750,"Montoursville Area School District, Pennsylvania",592,55
9700000US4215810,4215810,"Montrose Area School District, Pennsylvania",512,40
9700000US4215830,4215830,"Moon Area School District, Pennsylvania",716,41
9700000US4215900,4215900,"Morrisville Borough School District, Pennsylvania",904,50
9700000US4215960,4215960,"Moshannon Valley School District, Pennsylvania",350,28
9700000US4215990,4215990,"Mount Carmel Area School District, Pennsylvania",374,12
9700000US4216020,4216020,"Mount Union Area School District, Pennsylvania",413,13
9700000US4216050,4216050,"Mountain View School District, Pennsylvania",542,48
9700000US4216110,4216110,"Mt. Lebanon School District, Pennsylvania",714,37
9700000US4216170,4216170,"Mount Pleasant Area School District, Pennsylvania",445,33
9700000US4216200,4216200,"Muhlenberg School District, Pennsylvania",728,48
9700000US4216230,4216230,"Muncy School District, Pennsylvania",513,14
9700000US4216290,4216290,"Greater Nanticoke Area School District, Pennsylvania",450,30
9700000US4216380,4216380,"Nazareth Area School District, Pennsylvania",735,55
9700000US4216410,4216410,"Neshaminy School District, Pennsylvania",1044,30
9700000US4216440,4216440,"Neshannock Township School District, Pennsylvania",650,92
9700000US4216500,4216500,"Woodland Hills School District, Pennsylvania",511,13
9700000US4216530,4216530,"New Brighton Area School District, Pennsylvania",426,32
9700000US4216620,4216620,"New Castle Area School District, Pennsylvania",430,22
9700000US4216740,4216740,"New Kensington-Arnold School District, Pennsylvania",444,16
9700000US4216860,4216860,"New Hope-Solebury School District, Pennsylvania",1386,138
9700000US4216890,4216890,"Newport School District, Pennsylvania",480,16
9700000US4216980,4216980,"Norristown Area School District, Pennsylvania",919,25
9700000US4217010,4217010,"North Allegheny School District, Pennsylvania",829,34
9700000US4217100,4217100,"Moniteau School District, Pennsylvania",452,22
9700000US4217130,4217130,"North Clarion County School District, Pennsylvania",423,19
9700000US4217160,4217160,"North East School District, Pennsylvania",472,31
9700000US4217220,4217220,"North Hills School District, Pennsylvania",644,22
9700000US4217280,4217280,"North Penn School District, Pennsylvania",996,25
9700000US4217310,4217310,"North Pocono School District, Pennsylvania",647,45
9700000US4217370,4217370,"Northampton Area School District, Pennsylvania",712,46
9700000US4217430,4217430,"Riverside Beaver County School District, Pennsylvania",592,79
9700000US4217460,4217460,"Northeast Bradford School District, Pennsylvania",434,20
9700000US4217520,4217520,"Northeastern York School District, Pennsylvania",680,29
9700000US4217580,4217580,"Northern Bedford County School District, Pennsylvania",434,40
9700000US4217610,4217610,"Northern Cambria School District, Pennsylvania",372,20
9700000US4217640,4217640,"Northern Lebanon School District, Pennsylvania",553,36
9700000US4217670,4217670,"Northern Lehigh School District, Pennsylvania",643,55
9700000US4217700,4217700,"Northern Potter School District, Pennsylvania",402,32
9700000US4217730,4217730,"Northern Tioga School District, Pennsylvania",422,17
9700000US4217760,4217760,"Northern York County School District, Pennsylvania",599,32
9700000US4217770,4217770,"Northgate School District, Pennsylvania",545,14
9700000US4217790,4217790,"Northwest Area School District, Pennsylvania",470,22
9700000US4217850,4217850,"Northwestern Lehigh School District, Pennsylvania",849,65
9700000US4217880,4217880,"Northwestern School District, Pennsylvania",458,55
9700000US4217940,4217940,"Norwin School District, Pennsylvania",560,22
9700000US4218030,4218030,"Octorara Area School District, Pennsylvania",817,48
9700000US4218090,4218090,"Oil City Area School District, Pennsylvania",409,19
9700000US4218120,4218120,"Old Forge School District, Pennsylvania",494,39
9700000US4218150,4218150,"Oley Valley School District, Pennsylvania",646,92
9700000US4218210,4218210,"Oswayo Valley School District, Pennsylvania",420,72
9700000US4218240,4218240,"Otto-Eldred School District, Pennsylvania",424,45
9700000US4218270,4218270,"Owen J. Roberts School District, Pennsylvania",864,32
9700000US4218300,4218300,"Oxford Area School District, Pennsylvania",715,31
9700000US4218330,4218330,"Palisades School District, Pennsylvania",901,96
9700000US4218360,4218360,"Palmerton Area School District, Pennsylvania",624,53
9700000US4218390,4218390,"Palmyra Area School District, Pennsylvania",624,25
9700000US4218450,4218450,"Panther Valley School District, Pennsylvania",530,20
9700000US4218510,4218510,"Parkland School District, Pennsylvania",912,73
9700000US4218570,4218570,"Pen Argyl Area School District, Pennsylvania",690,35
9700000US4218580,4218580,"Penn-Delco School District, Pennsylvania",853,24
9700000US4218590,4218590,"Penn Hills School District, Pennsylvania",576,30
9700000US4218630,4218630,"Penn Manor School District, Pennsylvania",784,43
9700000US4218660,4218660,"Penn-Trafford School District, Pennsylvania",527,75
9700000US4218740,4218740,"Penncrest School District, Pennsylvania",455,22
9700000US4218750,4218750,"Pennridge School District, Pennsylvania",875,25
9700000US4218780,4218780,"Penns Manor Area School District, Pennsylvania",391,43
9700000US4218810,4218810,"Penns Valley Area School District, Pennsylvania",545,69
9700000US4218840,4218840,"Pennsbury School District, Pennsylvania",1031,37
9700000US4218900,4218900,"Pequea Valley School District, Pennsylvania",673,36
9700000US4218930,4218930,"Perkiomen Valley School District, Pennsylvania",955,48
9700000US4218960,4218960,"Peters Township School District, Pennsylvania",820,211
9700000US4218990,4218990,"Philadelphia City School District, Pennsylvania",721,4
9700000US4219020,4219020,"Philipsburg-Osceola Area School District, Pennsylvania",386,35
9700000US4219050,4219050,"Phoenixville Area School District, Pennsylvania",904,34
9700000US4219140,4219140,"Pine Grove Area School District, Pennsylvania",447,23
9700000US4219170,4219170,"Pittsburgh School District, Pennsylvania",628,7
9700000US4219200,4219200,"Pittston Area School District, Pennsylvania",504,14
9700000US4219290,4219290,"Pleasant Valley School District, Pennsylvania",919,66
9700000US4219350,4219350,"Plum Borough School District, Pennsylvania",701,31
9700000US4219470,4219470,"Colonial School District, Pennsylvania",1131,31
9700000US4219500,4219500,"Pocono Mountain School District, Pennsylvania",779,69
9700000US4219530,4219530,"Port Allegany School District, Pennsylvania",431,19
9700000US4219560,4219560,"Portage Area School District, Pennsylvania",358,36
9700000US4219650,4219650,"Pottsgrove School District, Pennsylvania",882,68
9700000US4219680,4219680,"Pottstown School District, Pennsylvania",660,22
9700000US4219710,4219710,"Pottsville Area School District, Pennsylvania",485,30
9700000US4219800,4219800,"Punxsutawney Area School District, Pennsylvania",426,16
9700000US4219830,4219830,"Purchase Line School District, Pennsylvania",410,28
9700000US4219860,4219860,"Quaker Valley School District, Pennsylvania",704,45
9700000US4219890,4219890,"Quakertown Community School District, Pennsylvania",815,24
9700000US4219920,4219920,"Radnor Township School District, Pennsylvania",1237,54
9700000US4220040,4220040,"Reading School District, Pennsylvania",578,12
9700000US4220100,4220100,"Red Lion Area School District, Pennsylvania",624,23
9700000US4220130,4220130,"Redbank Valley School District, Pennsylvania",368,26
9700000US4220220,4220220,"Reynolds School District, Pennsylvania",432,118
9700000US4220250,4220250,"Richland School District, Pennsylvania",498,60
9700000US4220310,4220310,"Ridgway Area School District, Pennsylvania",377,23
9700000US4220370,4220370,"Ridley School District, Pennsylvania",817,27
9700000US4220400,4220400,"Ringgold School District, Pennsylvania",481,41
9700000US4220430,4220430,"Riverview School District, Pennsylvania",574,21
9700000US4220460,4220460,"Rochester Area School District, Pennsylvania",428,24
9700000US4220520,4220520,"Rockwood Area School District, Pennsylvania",369,23
9700000US4220550,4220550,"Rose Tree Media School District, Pennsylvania",1054,60
9700000US4220580,4220580,"South Fayette Township School District, Pennsylvania",736,73
9700000US4220640,4220640,"St. Marys Area School District, Pennsylvania",459,51
9700000US4220730,4220730,"Salisbury Township School District, Pennsylvania",958,116
9700000US4220760,4220760,"Salisbury-Elk Lick School District, Pennsylvania",334,22
9700000US4220850,4220850,"Sayre Area School District, Pennsylvania",514,56
9700000US4220910,4220910,"Schuylkill Haven Area School District, Pennsylvania",515,41
9700000US4220970,4220970,"Schuylkill Valley School District, Pennsylvania",727,136
9700000US4221090,4221090,"Scranton School District, Pennsylvania",548,11
9700000US4221120,4221120,"Selinsgrove Area School District, Pennsylvania",528,15
9700000US4221150,4221150,"Yough School District, Pennsylvania",440,17
9700000US4221180,4221180,"Shade-Central City School District, Pennsylvania",329,37
9700000US4221200,4221200,"Shaler Area School District, Pennsylvania",557,27
9700000US4221240,4221240,"Shamokin Area School District, Pennsylvania",401,19
9700000US4221270,4221270,"Shanksville-Stonycreek School District, Pennsylvania",592,229
9700000US4221330,4221330,"Sharon City School District, Pennsylvania",416,40
9700000US4221420,4221420,"Sharpsville Area School District, Pennsylvania",480,31
9700000US4221490,4221490,"Shenandoah Valley School District, Pennsylvania",390,49
9700000US4221510,4221510,"Shenango Area School District, Pennsylvania",399,99
9700000US4221540,4221540,"Shikellamy School District, Pennsylvania",446,15
9700000US4221570,4221570,"Shippensburg Area School District, Pennsylvania",632,52
9700000US4221660,4221660,"Slippery Rock Area School District, Pennsylvania",572,29
9700000US4221690,4221690,"Smethport Area School District, Pennsylvania",416,50
9700000US4221810,4221810,"Solanco School District, Pennsylvania",643,46
9700000US4221840,4221840,"Somerset Area School District, Pennsylvania",423,15
9700000US4221870,4221870,"Souderton Area School District, Pennsylvania",841,30
