GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,Number Uninsured; Estimate; Total civilian noninstitutionalized population,Number Uninsured; Margin of Error; Total civilian noninstitutionalized population,Percent Uninsured; Estimate; Total civilian noninstitutionalized population,Percent Uninsured; Margin of Error; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population
9700000US4203870,4203870,"Blue Mountain School District, Pennsylvania",20194,401,1748,429,8.7,2.1,18446,527,91.3,2.1
9700000US4203900,4203900,"Blue Ridge School District, Pennsylvania",8003,413,1171,218,14.6,2.6,6832,408,85.4,2.6
9700000US4203960,4203960,"Boyertown Area School District, Pennsylvania",46782,290,2713,498,5.8,1.1,44069,566,94.2,1.1
9700000US4204020,4204020,"Bradford Area School District, Pennsylvania",19377,223,1644,277,8.5,1.4,17733,361,91.5,1.4
9700000US4204050,4204050,"Brandywine Heights Area School District, Pennsylvania",12921,319,952,232,7.4,1.8,11969,356,92.6,1.8
9700000US4204080,4204080,"Brownsville Area School District, Pennsylvania",13233,345,1510,307,11.4,2.3,11723,449,88.6,2.3
9700000US4204090,4204090,"Bryn Athyn School District, Pennsylvania",1377,116,86,46,6.2,3.3,1291,117,93.8,3.3
9700000US4204140,4204140,"Brentwood Borough School District, Pennsylvania",9638,27,1098,226,11.4,2.3,8540,223,88.6,2.3
9700000US4204200,4204200,"Bristol Borough School District, Pennsylvania",9699,26,1108,314,11.4,3.2,8591,318,88.6,3.2
9700000US4204230,4204230,"Bristol Township School District, Pennsylvania",54294,133,5231,695,9.6,1.3,49063,722,90.4,1.3
9700000US4204260,4204260,"Brockway Area School District, Pennsylvania",7360,232,719,116,9.8,1.6,6641,242,90.2,1.6
9700000US4204320,4204320,"Brookville Area School District, Pennsylvania",11574,288,1107,170,9.6,1.4,10467,298,90.4,1.4
9700000US4204500,4204500,"Burgettstown Area School District, Pennsylvania",9864,187,1045,234,10.6,2.4,8819,301,89.4,2.4
