GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
9700000US4205040,4205040,"Carlynton School District, Pennsylvania",7499,276,6798,188,701,198
9700000US4205070,4205070,"Carmichaels Area School District, Pennsylvania",3348,201,3014,157,334,150
9700000US4205160,4205160,"Catasauqua Area School District, Pennsylvania",4904,223,4537,202,367,184
9700000US4205190,4205190,"Centennial School District, Pennsylvania",19159,393,18494,381,665,219
9700000US4205310,4205310,"Central Bucks School District, Pennsylvania",42146,591,40288,566,1858,339
9700000US4205340,4205340,"Central Cambria School District, Pennsylvania",5791,232,5340,206,451,165
9700000US4205370,4205370,"Central Columbia School District, Pennsylvania",6441,183,6165,169,276,82
9700000US4205400,4205400,"Central Dauphin School District, Pennsylvania",38846,563,36388,600,2458,415
9700000US4205430,4205430,"Central Greene School District, Pennsylvania",5652,226,5054,244,598,157
9700000US4205460,4205460,"Crestwood School District, Pennsylvania",8474,205,7589,192,885,147
9700000US4205490,4205490,"Central York School District, Pennsylvania",13927,317,13366,293,561,198
9700000US4205550,4205550,"Chambersburg Area School District, Pennsylvania",28746,405,26344,429,2402,345
9700000US4205640,4205640,"Charleroi School District, Pennsylvania",5839,215,5093,189,746,180
9700000US4205700,4205700,"Chartiers Valley School District, Pennsylvania",14859,406,13857,386,1002,240
9700000US4205730,4205730,"Chartiers-Houston School District, Pennsylvania",4031,229,3647,159,384,173
9700000US4205760,4205760,"Cheltenham Township School District, Pennsylvania",15469,418,14492,378,977,243
9700000US4205860,4205860,"Chester-Upland School District, Pennsylvania",17549,468,14329,426,3220,306
9700000US4205880,4205880,"Chestnut Ridge School District, Pennsylvania",5173,186,4387,194,786,116
9700000US4205910,4205910,"Chichester School District, Pennsylvania",9828,338,9164,283,664,214
9700000US4206030,4206030,"Clairton City School District, Pennsylvania",4057,231,3216,187,841,145
9700000US4206060,4206060,"Clarion Area School District, Pennsylvania",3923,196,3213,198,710,148
9700000US4206090,4206090,"Clarion-Limestone Area School District, Pennsylvania",4119,192,3260,179,859,149
9700000US4206120,4206120,"Claysburg-Kimmel School District, Pennsylvania",2694,148,2256,133,438,93
9700000US4206150,4206150,"Clearfield Area School District, Pennsylvania",9753,286,8191,263,1562,207
9700000US4206240,4206240,"Coatesville Area School District, Pennsylvania",25225,534,23497,559,1728,284
9700000US4206270,4206270,"Cocalico School District, Pennsylvania",8695,227,8309,230,386,139
9700000US4206360,4206360,"Columbia Borough School District, Pennsylvania",4463,189,4079,136,384,134
9700000US4206390,4206390,"Commodore Perry School District, Pennsylvania",1883,78,1661,71,222,59
9700000US4206420,4206420,"Conemaugh Township Area School District, Pennsylvania",3990,184,3449,155,541,149
9700000US4206430,4206430,"Conemaugh Valley School District, Pennsylvania",3099,95,2705,101,394,86
9700000US4206480,4206480,"Conestoga Valley School District, Pennsylvania",12242,318,11877,312,365,170
9700000US4206550,4206550,"Conewago Valley School District, Pennsylvania",10936,304,10376,317,560,172
9700000US4206590,4206590,"Conneaut School District, Pennsylvania",11402,184,7302,207,4100,231
9700000US4206660,4206660,"Connellsville Area School District, Pennsylvania",16428,386,14258,348,2170,303
9700000US4206780,4206780,"Conrad Weiser Area School District, Pennsylvania",7512,223,7216,211,296,114
9700000US4206810,4206810,"Cornell School District, Pennsylvania",3643,229,3229,210,414,126
9700000US4206840,4206840,"Cornwall-Lebanon School District, Pennsylvania",14768,351,13533,316,1235,248
9700000US4206860,4206860,"Corry Area School District, Pennsylvania",6306,214,5429,164,877,155
9700000US4206930,4206930,"Coudersport Area School District, Pennsylvania",3598,125,2337,110,1261,111
9700000US4206960,4206960,"Council Rock School District, Pennsylvania",27006,390,26012,365,994,237
9700000US4207050,4207050,"Cranberry Area School District, Pennsylvania",5157,217,3979,166,1178,133
9700000US4207080,4207080,"Crawford Central School District, Pennsylvania",14738,334,12833,326,1905,283
9700000US4207110,4207110,"Cumberland Valley School District, Pennsylvania",23422,459,22764,404,658,204
9700000US4207140,4207140,"Curwensville Area School District, Pennsylvania",3414,113,2998,112,416,91
9700000US4207200,4207200,"Dallas School District, Pennsylvania",8583,290,7998,244,585,165
9700000US4207230,4207230,"Dallastown Area School District, Pennsylvania",17775,389,16840,370,935,261
9700000US4207290,4207290,"Daniel Boone Area School District, Pennsylvania",7787,226,7593,206,194,110
9700000US4207320,4207320,"Danville Area School District, Pennsylvania",8422,137,7623,203,799,163
9700000US4207530,4207530,"Delaware Valley School District, Pennsylvania",14740,418,10716,416,4024,392
9700000US4207540,4207540,"Deer Lakes School District, Pennsylvania",6309,214,5831,178,478,190
9700000US4207560,4207560,"Derry Area School District, Pennsylvania",8189,318,7326,238,863,196
9700000US4207590,4207590,"Derry Township School District, Pennsylvania",10866,358,10026,333,840,247
9700000US4207650,4207650,"Donegal School District, Pennsylvania",9003,319,8257,294,746,243
9700000US4207680,4207680,"Dover Area School District, Pennsylvania",10532,342,10164,288,368,147
9700000US4207710,4207710,"Downingtown Area School District, Pennsylvania",25700,384,24928,362,772,194
9700000US4207830,4207830,"DuBois Area School District, Pennsylvania",15162,375,12744,336,2418,289
9700000US4207980,4207980,"Dunmore School District, Pennsylvania",6257,270,5845,230,412,163
9700000US4208010,4208010,"Duquesne City School District, Pennsylvania",3287,227,2437,190,850,119
9700000US4208060,4208060,"East Allegheny School District, Pennsylvania",8212,295,7122,280,1090,258
9700000US4208280,4208280,"Forest Area School District, Pennsylvania",9715,464,2227,458,7488,138
9700000US4208460,4208460,"Eastern Lebanon County School District, Pennsylvania",8216,253,7859,250,357,131
9700000US4208490,4208490,"East Lycoming School District, Pennsylvania",4412,133,3940,133,472,69
9700000US4208550,4208550,"East Penn School District, Pennsylvania",22056,409,21242,418,814,258
9700000US4208580,4208580,"East Pennsboro Area School District, Pennsylvania",8621,293,8262,262,359,161
9700000US4208670,4208670,"East Stroudsburg Area School District, Pennsylvania",24389,687,16301,578,8088,464
9700000US4208790,4208790,"Eastern York School District, Pennsylvania",8636,284,8143,279,493,163
9700000US4208820,4208820,"Eastern Lancaster County School District, Pennsylvania",11147,251,10835,297,312,153
9700000US4208850,4208850,"Easton Area School District, Pennsylvania",25593,479,23352,452,2241,363
9700000US4209090,4209090,"Elizabeth Forward School District, Pennsylvania",8355,205,7638,187,717,179
9700000US4209120,4209120,"Elizabethtown Area School District, Pennsylvania",11745,444,11206,408,539,195
9700000US4209150,4209150,"Elk Lake School District, Pennsylvania",3926,104,2977,120,949,90
9700000US4209240,4209240,"Ellwood City Area School District, Pennsylvania",6633,215,6020,217,613,149
9700000US4209270,4209270,"Ephrata Area School District, Pennsylvania",13451,294,13149,301,302,141
