GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
9700000US4205460,4205460,"Crestwood School District, Pennsylvania",20150,265,219,107
9700000US4205490,4205490,"Central York School District, Pennsylvania",37272,463,1450,336
9700000US4205550,4205550,"Chambersburg Area School District, Pennsylvania",67059,285,5310,384
9700000US4205640,4205640,"Charleroi School District, Pennsylvania",11972,157,119,66
9700000US4205700,4205700,"Chartiers Valley School District, Pennsylvania",30705,93,375,136
9700000US4205730,4205730,"Chartiers-Houston School District, Pennsylvania",9173,89,271,175
9700000US4205760,4205760,"Cheltenham Township School District, Pennsylvania",36849,84,1744,421
9700000US4205860,4205860,"Chester-Upland School District, Pennsylvania",41299,47,3258,579
9700000US4205880,4205880,"Chestnut Ridge School District, Pennsylvania",10938,400,97,52
9700000US4205910,4205910,"Chichester School District, Pennsylvania",24649,248,870,412
9700000US4206030,4206030,"Clairton City School District, Pennsylvania",6798,33,150,117
9700000US4206060,4206060,"Clarion Area School District, Pennsylvania",8687,239,68,31
9700000US4206090,4206090,"Clarion-Limestone Area School District, Pennsylvania",7924,263,50,36
9700000US4206120,4206120,"Claysburg-Kimmel School District, Pennsylvania",5764,136,78,78
9700000US4206150,4206150,"Clearfield Area School District, Pennsylvania",19167,163,286,179
9700000US4206240,4206240,"Coatesville Area School District, Pennsylvania",63464,186,5103,756
9700000US4206270,4206270,"Cocalico School District, Pennsylvania",23165,238,887,331
9700000US4206360,4206360,"Columbia Borough School District, Pennsylvania",10390,21,925,301
9700000US4206390,4206390,"Commodore Perry School District, Pennsylvania",4093,184,10,8
9700000US4206420,4206420,"Conemaugh Township Area School District, Pennsylvania",8227,238,60,44
9700000US4206430,4206430,"Conemaugh Valley School District, Pennsylvania",6555,197,15,14
9700000US4206480,4206480,"Conestoga Valley School District, Pennsylvania",33212,36,1931,533
9700000US4206550,4206550,"Conewago Valley School District, Pennsylvania",27190,551,2160,397
9700000US4206590,4206590,"Conneaut School District, Pennsylvania",18048,401,72,46
9700000US4206660,4206660,"Connellsville Area School District, Pennsylvania",34257,370,223,103
9700000US4206780,4206780,"Conrad Weiser Area School District, Pennsylvania",19362,354,940,346
