GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Total; Margin of Error; Population 16 years and over,In labor force; Estimate; Population 16 years and over,In labor force; Margin of Error; Population 16 years and over,Employed; Estimate; Population 16 years and over,Employed; Margin of Error; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over
9700000US4225650,4225650,"West Middlesex Area School District, Pennsylvania",5649,297,60.4,2.7,55.1,3.0,8.8,2.6
9700000US4225680,4225680,"West Mifflin Area School District, Pennsylvania",17882,434,61.7,2.2,55.9,2.0,9.2,1.6
9700000US4225740,4225740,"West Perry School District, Pennsylvania",14587,262,68.2,1.7,62.0,1.8,8.9,2.0
9700000US4225830,4225830,"West Shore School District, Pennsylvania",51363,561,64.7,1.4,60.5,1.3,6.0,0.9
9700000US4225950,4225950,"Wyoming Valley West School District, Pennsylvania",35286,468,61.7,1.6,56.7,1.6,8.0,1.2
9700000US4225980,4225980,"West York Area School District, Pennsylvania",19463,297,65.3,1.8,59.1,2.0,9.6,1.8
9700000US4226010,4226010,"Mifflinburg Area School District, Pennsylvania",12740,251,63.3,2.2,58.4,2.3,7.7,2.0
9700000US4226040,4226040,"Western Beaver County School District, Pennsylvania",4629,112,64.1,4.2,58.2,4.3,9.1,3.0
9700000US4226070,4226070,"Western Wayne School District, Pennsylvania",16339,355,47.2,2.3,43.5,2.2,7.7,1.6
9700000US4226130,4226130,"Westmont Hilltop School District, Pennsylvania",10722,219,62.3,2.8,57.0,2.8,8.3,2.1
9700000US4226250,4226250,"Whitehall-Coplay School District, Pennsylvania",24807,344,66.9,2.0,61.0,2.1,8.6,1.6
9700000US4226300,4226300,"Wilkes-Barre Area School District, Pennsylvania",49034,532,57.6,1.4,52.5,1.4,8.6,1.0
9700000US4226370,4226370,"Wilkinsburg Borough School District, Pennsylvania",13431,313,61.7,2.7,54.2,2.9,12.1,2.6
9700000US4226390,4226390,"William Penn School District, Pennsylvania",32902,463,66.5,1.7,59.5,1.8,10.6,1.3
9700000US4226400,4226400,"Williams Valley School District, Pennsylvania",5678,236,59.1,2.3,53.6,2.2,8.9,1.6
9700000US4226430,4226430,"Williamsburg Community School District, Pennsylvania",3018,166,60.2,4.5,56.0,4.2,7.0,2.0
9700000US4226460,4226460,"Williamsport Area School District, Pennsylvania",34216,342,62.8,1.5,55.1,1.6,12.2,1.5
9700000US4226520,4226520,"Wilmington Area School District, Pennsylvania",9715,265,58.4,2.2,55.7,2.1,4.6,1.4
9700000US4226550,4226550,"Wilson Area School District, Pennsylvania",12458,287,69.8,2.5,63.9,3.2,8.5,2.0
9700000US4226580,4226580,"Wilson School District, Pennsylvania",31488,482,65.4,1.5,61.2,1.6,6.3,1.1
9700000US4226610,4226610,"Windber Area School District, Pennsylvania",7129,243,58.5,3.0,53.2,2.8,8.9,2.6
9700000US4226700,4226700,"Wyalusing Area School District, Pennsylvania",7234,307,57.1,1.8,53.0,1.8,7.1,1.5
9700000US4226730,4226730,"Wyoming Area School District, Pennsylvania",16376,343,63.9,2.1,59.6,2.1,6.8,1.7
9700000US4226760,4226760,"Wyomissing Area School District, Pennsylvania",10123,304,61.4,2.9,57.7,2.8,6.0,1.8
9700000US4226820,4226820,"York City School District, Pennsylvania",33014,563,61.0,1.9,48.0,2.0,21.3,1.9
9700000US4226850,4226850,"York Suburban School District, Pennsylvania",18205,380,61.5,1.9,58.1,1.9,5.6,1.4
9700000US4299997,4299997,"School District Not Defined, Pennsylvania",0,10,-,**,-,**,-,**
