"GeoID","ID_2","Name","Pop_Total","PopForPov","Below_Pov","Pov_Rate","PovUnder18","Pov_18to64","Pov_65Over","HH_Total","HH_SNAP","SNAP_Rate","MHI","PctWhite","PctAfrAm","PctAsian","PctMulti","PctHispLat","Median_Age","LangEngOnl","Lang_Other","MedianRent","Unemp_Rate","Pct_Disabl","Pct_Unins","HU_Total","HU_Occ","HU_Vacant","Pct_HU_Vac","Owner_Occ","Renter_Occ","Pct_Rent","HU_NoVeh","Pct_NoVeh"
"9700000US4202670",4202670,"Athens Area School District, Pennsylvania",14344,14057,1964,14,17.1,14,10.3,5602,632,11.2816851125,49407,98.0200780814,0.7877858338,0.1045733408,0.8505298383,1.1154489682,44.8,97.6,2.4,518,4.4,12.9,9.8,6626,5602,1024,15.4542710534,4482,1120,19.992859693,304,5.4266333452
"9700000US4202700",4202700,"Austin Area School District, Pennsylvania",1116,1116,165,14.8,20.9,13.4,12.6,476,47,9.8739495798,36250,97.7598566308,0,0,0.1792114695,1.8817204301,47.8,99.3,0.7,469,11.4,15.9,12,1866,476,1390,74.4908896034,393,83,17.4369747899,19,3.9915966387
"9700000US4202760",4202760,"Avella Area School District, Pennsylvania",4175,4165,388,9.3,15.6,8.2,6.1,1604,142,8.8528678304,57267,97.748502994,0.3592814371,0.2874251497,1.5329341317,0.5508982036,45.4,97.8,2.2,474,9,15.4,6.6,1787,1604,183,10.2406267487,1366,238,14.8379052369,59,3.6783042394
"9700000US4202790",4202790,"Avon Grove School District, Pennsylvania",31054,30889,1290,4.2,4.6,3.5,6.5,10362,237,2.2872032426,91694,92.0461132221,2.9464803246,1.3685837573,1.906356669,14.5327494043,37.6,84.8,15.2,903,6.9,6.9,10.4,10720,10362,358,3.3395522388,8737,1625,15.6823007141,211,2.0362864312
"9700000US4202820",4202820,"Avonworth School District, Pennsylvania",10478,10324,379,3.7,1.6,4.2,4.9,4137,160,3.8675368625,82966,94.1401030731,2.2427944264,1.2025195648,1.9851116625,0.8971177706,38.8,96.3,3.7,810,5.4,7.4,5.3,4472,4137,335,7.4910554562,3183,954,23.0601885424,132,3.1907179115
"9700000US4202850",4202850,"Pine-Richland School District, Pennsylvania",22949,22743,785,3.5,3.8,2.8,5.8,7977,116,1.4541807697,109170,94.8320188243,1.1678068761,2.9718070504,0.6666957166,1.9042224062,41.9,92.9,7.1,1173,4,7,3.3,8471,7977,494,5.8316609609,6973,1004,12.5861852827,260,3.2593706907
"9700000US4202910",4202910,"Bald Eagle Area School District, Pennsylvania",13508,13463,1328,9.9,14.1,9.5,5.3,5297,413,7.7968661507,53091,99.0228013029,0.1850755108,0.1776724904,0.4071661238,1.1844832692,40.8,98,2,515,5.4,13.9,9.6,6194,5297,897,14.4817565386,4358,939,17.7270152917,218,4.1155370965
"9700000US4202970",4202970,"Baldwin-Whitehall School District, Pennsylvania",35746,35387,3307,9.3,17.7,7.4,7,15432,1253,8.1194919647,52285,89.8897778772,4.0647904661,4.8676775024,0.9259777318,0.8616348682,44.2,91.1,8.9,604,7.9,12.7,6.1,16194,15432,762,4.7054464617,11797,3635,23.5549507517,1400,9.0720580612
"9700000US4203000",4203000,"Bangor Area School District, Pennsylvania",23011,22774,1513,6.6,9.9,6.2,4.2,8924,543,6.0847153743,58111,98.048759289,0.5606014515,0.4085002825,0.3911172917,2.8160445005,43.4,95.7,4.3,742,9.4,13.4,10.5,9785,8924,861,8.7991824221,7019,1905,21.346929628,508,5.6925145675
"9700000US4203120",4203120,"Beaver Area School District, Pennsylvania",14869,14346,647,4.5,5,4,5.3,6236,364,5.8370750481,54500,96.5027910418,1.6140964423,0.4102495124,1.0962405004,1.1298675096,47.7,97.3,2.7,458,6.1,13.4,4.2,6580,6236,344,5.2279635258,4400,1836,29.4419499679,395,6.3341885824
"9700000US4203180",4203180,"Bedford Area School District, Pennsylvania",16627,16009,1906,11.9,14.4,11.6,10.4,6937,943,13.5937725241,43002,97.5221026042,0.9502616227,0.4149876707,0.7457749444,1.3051061526,46,97.7,2.3,445,6.8,16.9,10.7,8079,6937,1142,14.1354127986,5259,1678,24.1891307482,551,7.9429148047
"9700000US4203210",4203210,"Belle Vernon Area School District, Pennsylvania",18677,18586,2000,10.8,16.4,10.9,5,7607,1046,13.750492967,51098,93.0931091717,2.532526637,2.9394442362,1.2582320501,0.7710017669,47,94.3,5.7,447,7.6,15.2,7.9,8522,7607,915,10.7369162169,6121,1486,19.5346391482,418,5.4949388721
"9700000US4203240",4203240,"Bellefonte Area School District, Pennsylvania",25893,23513,2403,10.2,15.8,8.5,9.7,9861,931,9.4412331407,53375,92.2759046847,5.8007955818,0.5329625768,0.8419263894,2.5296412158,40.9,95.1,4.9,639,4.8,12.6,8.7,10540,9861,679,6.4421252372,7330,2531,25.6667680763,809,8.2040361018
"9700000US4203300",4203300,"Bellwood-Antis School District, Pennsylvania",8429,8339,750,9,12.6,8.2,6.4,3264,387,11.8566176471,58026,97.5204650611,1.4592478349,0.8897852652,0.1305018389,0.4508245343,39.1,97.8,2.2,488,5.5,11.1,7,3567,3264,303,8.4945332212,2676,588,18.0147058824,94,2.8799019608
"9700000US4203330",4203330,"Bensalem Township School District, Pennsylvania",60429,60250,3876,6.4,10.3,5.3,6,23186,1849,7.9746398689,59982,77.5405848185,7.1124791077,11.8271028811,2.1330817985,6.6954607887,39.7,80.2,19.8,944,8.6,10.8,9.4,25996,23186,2810,10.8093552854,13980,9206,39.7049943932,1466,6.3227809885
"9700000US4203360",4203360,"Bentworth School District, Pennsylvania",8269,8235,1126,13.7,22,13.3,5.1,3430,536,15.6268221574,48255,96.299431612,0.8344418914,0.9432821381,1.8140041117,0.9190954166,44.2,96,4,376,7.8,18.3,8,3772,3430,342,9.0668080594,2588,842,24.5481049563,326,9.5043731778
"9700000US4203390",4203390,"Benton Area School District, Pennsylvania",4960,4934,520,10.5,19.7,9.2,5.9,2042,163,7.9823702253,46543,97.1975806452,1.935483871,0.3225806452,0.3024193548,0.3024193548,46.7,98.8,1.2,493,6.8,12.2,7.1,2809,2042,767,27.3050907796,1692,350,17.1400587659,65,3.1831537708
"9700000US4203420",4203420,"Berlin Brothersvalley School District, Pennsylvania",5447,5299,571,10.8,22.3,7.4,9.4,2176,259,11.9025735294,42056,98.6414540114,0.1468698366,0.1101523775,1.0097301267,0.8995777492,46.1,98.9,1.1,393,6.5,17.4,8.6,2702,2176,526,19.467061436,1685,491,22.5643382353,113,5.1930147059
"9700000US4203450",4203450,"Bermudian Springs School District, Pennsylvania",13009,12993,904,7,8.9,6.1,7.9,4929,296,6.0052749036,59753,92.7511722654,0.4919670997,0.2536705358,1.1146129603,7.2872626643,42,92.8,7.2,600,6.3,12.1,9.1,5307,4929,378,7.1226681741,3946,983,19.9431933455,80,1.6230472713
"9700000US4203480",4203480,"Berwick Area School District, Pennsylvania",22579,22017,2783,12.6,16.6,12.6,8.7,9364,1076,11.4908158906,42355,97.0060675849,0.5934718101,1.222374773,0.7927720448,3.6139775898,43.3,94.8,5.2,498,7,14.8,9.7,10224,9364,860,8.4115805947,6355,3009,32.1337035455,851,9.0879965827
"9700000US4203510",4203510,"Bethel Park School District, Pennsylvania",32994,32731,1127,3.4,4.6,2.4,5.5,13403,480,3.5812877714,69321,95.3779475056,1.6093835243,1.3638843426,1.1244468691,0.8516700006,45.5,95.5,4.5,740,6,10.7,4,14111,13403,708,5.0173623414,10621,2782,20.7565470417,707,5.2749384466
"9700000US4203570",4203570,"Bethlehem Area School District, Pennsylvania",117062,110301,15590,14.1,20.5,13.9,6.6,45173,5670,12.5517455117,53731,80.8597153645,6.4316345185,3.4836240625,3.0795646751,19.5716799645,38.8,79.4,20.6,804,8.4,13.6,9.7,48102,45173,2929,6.0891439025,28254,16919,37.4537887676,5158,11.4183251057
"9700000US4203600",4203600,"Bethlehem-Center School District, Pennsylvania",8723,8694,1131,13,20.8,12.5,5.8,3529,524,14.8483989799,48834,96.4805686117,1.9603347472,0.0917115671,1.4329932363,0.6075891322,42.8,98.7,1.3,458,10.9,18.4,8.7,4084,3529,555,13.5896180215,2900,629,17.8237461037,256,7.2541796543
"9700000US4203630",4203630,"Big Beaver Falls Area School District, Pennsylvania",13608,12418,2854,23,41.8,20.8,9,5388,1253,23.2553823311,35265,84.9573780129,10.0823045267,0.448265726,3.8653733098,0.9626690182,38.2,97.1,2.9,447,11.2,18.9,9.2,6419,5388,1031,16.0616918523,3340,2048,38.010393467,853,15.8314773571
"9700000US4203660",4203660,"Big Spring School District, Pennsylvania",20916,20727,1942,9.4,16.2,7.6,6.5,8173,478,5.8485256332,54921,95.8691910499,0.4876649455,1.1474469306,2.2183973991,1.4677758654,41.9,93.2,6.8,578,7.1,12.3,12.9,8702,8173,529,6.0790622845,6695,1478,18.0839349076,367,4.4903952037
"9700000US4203688",4203688,"Blackhawk School District, Pennsylvania",17971,17786,1359,7.6,9.5,7.6,5.9,7302,564,7.7239112572,53994,97.7741917534,0.7233876802,0.4173390462,1.0628234378,1.1073396027,46.4,96.6,3.4,570,6,14.6,6.5,7846,7302,544,6.9334692837,5902,1400,19.1728293618,383,5.2451383183
"9700000US4203690",4203690,"Blacklick Valley School District, Pennsylvania",5389,5369,762,14.2,28.3,10.8,8.7,2217,309,13.9377537212,39306,99.7216552236,0.0556689553,0.2226758211,0,0.6309148265,43.4,98.3,1.7,363,7.3,18.4,6.1,2413,2217,196,8.1226688769,1870,347,15.651781687,129,5.8186738836
"9700000US4203750",4203750,"Blairsville-Saltsburg School District, Pennsylvania",14103,14036,2106,15,19.8,15,10.1,5664,529,9.3396892655,46491,95.9866695029,1.3685031554,0.8083386514,1.3472310856,2.4462880238,43.1,96.4,3.6,441,8,15.3,7.4,6460,5664,796,12.3219814241,4388,1276,22.5282485876,457,8.0685028249
"9700000US4203840",4203840,"Bloomsburg Area School District, Pennsylvania",20514,17027,5066,29.8,18.9,35.9,10.2,6990,706,10.1001430615,36592,92.5806766111,4.4359949303,1.2381788047,1.2235546456,2.8565857463,23.8,96.8,3.2,560,7,8.3,7.2,7689,6990,699,9.0909090909,3635,3355,47.9971387697,665,9.5135908441
"9700000US4203870",4203870,"Blue Mountain School District, Pennsylvania",20589,20085,1195,5.9,8.9,5.7,3.4,8396,456,5.4311576941,60421,96.8284035164,0.5294089077,1.6610811598,0.8985380543,1.3988051872,45.3,95.1,4.9,528,6.9,11.1,8.7,9019,8396,623,6.9076394279,7036,1360,16.1981896141,275,3.2753692234
"9700000US4203900",4203900,"Blue Ridge School District, Pennsylvania",8026,8007,986,12.3,18.2,11,8.8,3222,374,11.6076970826,43681,98.4799401944,0.8347869424,0.062297533,0.4983802641,0.7475703962,43.6,97.6,2.4,516,8.7,19.9,14.6,4188,3222,966,23.0659025788,2328,894,27.7467411546,234,7.2625698324
"9700000US4203960",4203960,"Boyertown Area School District, Pennsylvania",46903,46598,2114,4.5,5.6,4.3,3.7,17513,684,3.9056700737,68497,95.7742575102,1.552139522,0.8336353751,1.2984244078,2.0126644351,43,96.2,3.8,724,7.8,10.7,5.8,18250,17513,737,4.0383561644,14611,2902,16.5705475932,637,3.6372980072
"9700000US4204020",4204020,"Bradford Area School District, Pennsylvania",21076,18541,3599,19.4,28.2,19.2,8.2,8094,1349,16.6666666667,41267,92.5555133801,4.6593281458,0.6025811349,0.9726703359,2.5431770734,40.3,95.7,4.3,463,11,17.7,8.5,9277,8094,1183,12.7519672308,5673,2421,29.9110452187,1011,12.4907338769
"9700000US4204050",4204050,"Brandywine Heights Area School District, Pennsylvania",13104,12825,618,4.8,2,4.4,9.6,5158,207,4.0131834044,64786,98.4203296703,0.7478632479,0.0686813187,0.3205128205,2.1749084249,46.1,94.5,5.5,653,6.8,10.7,7.4,5366,5158,208,3.8762579202,4228,930,18.0302442807,138,2.6754556029
